;; MJD	etburst	mag	-emag	+emag	limmag	filter	imagename
58653.391655	0.01389	16.057	16.041	16.073	19.233	V	m15_data/M15-1_20190619_092359_d167_Nickel_V_c.fit
58653.392604	0.04167	16.066	16.056	16.076	19.87951	V	m15_data/M15-1_20190619_092521_d168_Nickel_V_c.fit
58653.393877	0.125	16.06	16.053	16.067	20.43916	V	m15_data/M15-1_20190619_092711_d169_Nickel_V_c.fit
58653.397002	0.01389	16.054	16.037	16.071	19.23465	V	m15_data/M15-1_20190619_093141_d170_Nickel_V_c.fit
58653.397685	0.04167	16.069	16.06	16.078	19.92824	V	m15_data/M15-1_20190619_093240_d171_Nickel_V_c.fit
58658.382072	0.01389	15.827	15.814	15.84	19.04416	V	m15_data/M15-1_20190624_091011_d128_Nickel_V_c.fit
58658.382986	0.04167	15.849	15.841	15.857	19.15899	V	m15_data/M15-1_20190624_091130_d129_Nickel_V_c.fit
58658.384572	0.125	15.825	15.82	15.83	20.15376	V	m15_data/M15-1_20190624_091347_d130_Nickel_V_c.fit
58661.372257	0.01389	15.983	15.962	16.004	17.56241	V	m15_data/M15-1_20190627_085603_d141_Nickel_V_c.fit
58661.373958	0.04167	15.966	15.955	15.977	18.29244	V	m15_data/M15-1_20190627_085830_d142_Nickel_V_c.fit
58661.375359	0.125	15.971	15.965	15.977	18.9532	V	m15_data/M15-1_20190627_090031_d143_Nickel_V_c.fit
58661.378692	0.01389	15.955	15.933	15.977	17.60225	V	m15_data/M15-1_20190627_090519_d144_Nickel_V_c.fit
58664.394178	0.01389	16.063	16.044	16.082	19.00912	V	m15_data/M15-1_20190630_092737_d186_Nickel_V_c.fit
58664.394792	0.04167	16.083	16.072	16.094	19.82413	V	m15_data/M15-1_20190630_092830_d187_Nickel_V_c.fit
58664.39588	0.125	16.076	16.068	16.084	19.82164	V	m15_data/M15-1_20190630_093004_d188_Nickel_V_c.fit
58672.284537	0.01389	15.585	15.573	15.597	18.38564	V	m15_data/M15-1_20190708_064944_d159_Nickel_V_c.fit
58672.285752	0.04167	15.586	15.579	15.593	18.89846	V	m15_data/M15-1_20190708_065129_d160_Nickel_V_c.fit
58672.286991	0.125	15.597	15.592	15.602	19.53291	V	m15_data/M15-1_20190708_065316_d161_Nickel_V_c.fit
58672.460729	0.01389	15.901	15.886	15.916	18.58432	V	m15_data/M15-1_20190708_110327_d205_Nickel_V_c.fit
58672.461447	0.04167	15.889	15.88	15.898	19.19611	V	m15_data/M15-1_20190708_110429_d206_Nickel_V_c.fit
58672.463067	0.125	15.89	15.884	15.896	19.89937	V	m15_data/M15-1_20190708_110649_d207_Nickel_V_c.fit
58676.366632	0.01389	15.584	15.572	15.596	19.455	V	m15_data/M15-1_20190712_084757_d159_Nickel_V_c.fit
58676.367847	0.04167	15.569	15.559	15.579	20.48859	V	m15_data/M15-1_20190712_084942_d160_Nickel_V_c.fit
58676.369421	0.125	15.562	15.557	15.567	20.66491	V	m15_data/M15-1_20190712_085158_d161_Nickel_V_c.fit
58683.310914	0.01389	15.966	15.949	15.983	18.82064	V	m15_data/M15-1_20190719_072743_d141_Nickel_V_c.fit
58683.311678	0.04167	15.952	15.943	15.961	19.53091	V	m15_data/M15-1_20190719_072849_d142_Nickel_V_c.fit
58683.312801	0.125	15.941	15.934	15.948	20.09391	V	m15_data/M15-1_20190719_073026_d143_Nickel_V_c.fit
58683.449016	0.01389	15.46	15.446	15.474	18.49916	V	m15_data/M15-1_20190719_104635_d173_Nickel_V_c.fit
