;; MJD	etburst	mag	-emag	+emag	limmag	filter	imagename
58653.391655	0.01389	15.916	15.899	15.933	19.22803	V	m15_data/M15-1_20190619_092359_d167_Nickel_V_c.fit
58653.392604	0.04167	15.929	15.914	15.944	19.87838	V	m15_data/M15-1_20190619_092521_d168_Nickel_V_c.fit
58653.393877	0.125	15.922	15.908	15.936	20.43501	V	m15_data/M15-1_20190619_092711_d169_Nickel_V_c.fit
58653.397002	0.01389	15.937	15.917	15.957	19.22221	V	m15_data/M15-1_20190619_093141_d170_Nickel_V_c.fit
58653.397685	0.04167	15.937	15.921	15.953	19.90934	V	m15_data/M15-1_20190619_093240_d171_Nickel_V_c.fit
58658.382072	0.01389	15.273	15.262	15.284	19.01834	V	m15_data/M15-1_20190624_091011_d128_Nickel_V_c.fit
58658.382986	0.04167	15.272	15.266	15.278	19.12267	V	m15_data/M15-1_20190624_091130_d129_Nickel_V_c.fit
58658.384572	0.125	15.264	15.259	15.269	20.13949	V	m15_data/M15-1_20190624_091347_d130_Nickel_V_c.fit
58661.372257	0.01389	15.768	15.751	15.785	17.5472	V	m15_data/M15-1_20190627_085603_d141_Nickel_V_c.fit
58661.373958	0.04167	15.814	15.803	15.825	18.25029	V	m15_data/M15-1_20190627_085830_d142_Nickel_V_c.fit
58661.375359	0.125	15.806	15.798	15.814	18.87133	V	m15_data/M15-1_20190627_090031_d143_Nickel_V_c.fit
58661.378692	0.01389	15.793	15.775	15.811	17.59587	V	m15_data/M15-1_20190627_090519_d144_Nickel_V_c.fit
58664.394178	0.01389	16.055	16.034	16.076	19.00214	V	m15_data/M15-1_20190630_092737_d186_Nickel_V_c.fit
58664.394792	0.04167	16.043	16.029	16.057	19.81534	V	m15_data/M15-1_20190630_092830_d187_Nickel_V_c.fit
58664.39588	0.125	16.063	16.052	16.074	19.74003	V	m15_data/M15-1_20190630_093004_d188_Nickel_V_c.fit
58672.284537	0.01389	15.641	15.626	15.656	18.36251	V	m15_data/M15-1_20190708_064944_d159_Nickel_V_c.fit
58672.285752	0.04167	15.671	15.663	15.679	18.87442	V	m15_data/M15-1_20190708_065129_d160_Nickel_V_c.fit
58672.286991	0.125	15.686	15.681	15.691	19.4533	V	m15_data/M15-1_20190708_065316_d161_Nickel_V_c.fit
58672.460729	0.01389	16.075	16.057	16.093	18.55954	V	m15_data/M15-1_20190708_110327_d205_Nickel_V_c.fit
58672.461447	0.04167	16.119	16.107	16.131	19.15207	V	m15_data/M15-1_20190708_110429_d206_Nickel_V_c.fit
58672.463067	0.125	16.103	16.096	16.11	19.89221	V	m15_data/M15-1_20190708_110649_d207_Nickel_V_c.fit
58676.366632	0.01389	15.845	15.829	15.861	19.44696	V	m15_data/M15-1_20190712_084757_d159_Nickel_V_c.fit
58676.367847	0.04167	15.865	15.85	15.88	20.48135	V	m15_data/M15-1_20190712_084942_d160_Nickel_V_c.fit
58676.369421	0.125	15.852	15.842	15.862	20.63492	V	m15_data/M15-1_20190712_085158_d161_Nickel_V_c.fit
58683.310914	0.01389	15.95	15.931	15.969	18.81086	V	m15_data/M15-1_20190719_072743_d141_Nickel_V_c.fit
58683.311678	0.04167	15.976	15.963	15.989	19.49343	V	m15_data/M15-1_20190719_072849_d142_Nickel_V_c.fit
58683.312801	0.125	15.966	15.955	15.977	20.08945	V	m15_data/M15-1_20190719_073026_d143_Nickel_V_c.fit
58683.449016	0.01389	16.179	16.156	16.202	18.49483	V	m15_data/M15-1_20190719_104635_d173_Nickel_V_c.fit
58683.459653	0.04167	16.182	16.169	16.195	19.26437	V	m15_data/M15-1_20190719_110154_d175_Nickel_V_c.fit
58690.309838	0.01389	16.139	16.12	16.158	19.36918	V	m15_data/M15-1_20190726_072610_d164_Nickel_V_c.fit
58690.310799	0.04167	16.143	16.121	16.165	20.13734	V	m15_data/M15-1_20190726_072733_d165_Nickel_V_c.fit
58690.312037	0.125	16.146	16.133	16.159	20.45776	V	m15_data/M15-1_20190726_072920_d166_Nickel_V_c.fit
58694.348021	0.01389	16.127	16.105	16.149	18.86742	V	m15_data/M15-1_20190730_082109_d136_Nickel_V_c.fit
58694.348704	0.04167	16.147	16.136	16.158	19.71217	V	m15_data/M15-1_20190730_082208_d137_Nickel_V_c.fit
58694.349919	0.125	16.161	16.153	16.169	20.28874	V	m15_data/M15-1_20190730_082353_d138_Nickel_V_c.fit
58697.327257	0.01389	16.145	16.123	16.167	18.37948	V	m15_data/M15-1_20190802_075115_d157_Nickel_V_c.fit
58697.328356	0.04167	16.149	16.137	16.161	19.30632	V	m15_data/M15-1_20190802_075250_d158_Nickel_V_c.fit
58697.330845	0.125	16.145	16.137	16.153	19.908	V	m15_data/M15-1_20190802_075625_d159_Nickel_V_c.fit
58708.284421	0.01389	16.549	16.517	16.581	18.67537	B	m15_data/M15-1_20190813_064934_d157_Nickel_B_c.fit
58708.285891	0.01389	16.09	16.069	16.111	18.68999	V	m15_data/M15-1_20190813_065141_d158_Nickel_V_c.fit
58708.286586	0.04167	16.07	16.058	16.082	19.19352	V	m15_data/M15-1_20190813_065241_d159_Nickel_V_c.fit
58708.288727	0.125	16.081	16.072	16.09	19.77084	V	m15_data/M15-1_20190813_065546_d160_Nickel_V_c.fit
58721.298738	0.01389	16.021	16.002	16.04	19.31394	V	m15_data/M15-1_20190826_071011_d147_Nickel_V_c.fit
58721.29963	0.04167	16.019	16.005	16.033	20.06747	V	m15_data/M15-1_20190826_071128_d148_Nickel_V_c.fit
58721.301181	0.125	16.046	16.036	16.056	20.6455	V	m15_data/M15-1_20190826_071342_d149_Nickel_V_c.fit
58724.239155	0.01389	16.13	16.113	16.147	19.06647	V	m15_data/M15-1_20190829_054423_d154_Nickel_V_c.fit
58724.239896	0.04167	16.14	16.129	16.151	19.95714	V	m15_data/M15-1_20190829_054527_d155_Nickel_V_c.fit
58724.240972	0.125	16.164	16.155	16.173	20.41628	V	m15_data/M15-1_20190829_054700_d156_Nickel_V_c.fit
58728.180023	0.01389	16.01	15.992	16.028	19.27043	V	m15_data/M15-1_20190902_041914_d153_Nickel_V_c.fit
58728.180671	0.04167	16.002	15.988	16.016	20.08369	V	m15_data/M15-1_20190902_042010_d154_Nickel_V_c.fit
58728.181748	0.08333	15.995	15.984	16.006	20.24223	V	m15_data/M15-1_20190902_042143_d155_Nickel_V_c.fit
58731.157928	0.01389	16.201	16.178	16.224	19.24329	V	m15_data/M15-1_20190905_034725_d127_Nickel_V_c.fit
58731.160914	0.04167	16.186	16.172	16.2	20.05967	V	m15_data/M15-1_20190905_035143_d128_Nickel_V_c.fit
58731.162234	0.125	16.209	16.197	16.221	20.69797	V	m15_data/M15-1_20190905_035337_d129_Nickel_V_c.fit
58731.355382	0.01389	16.005	15.986	16.024	19.40821	V	m15_data/M15-1_20190905_083145_d185_Nickel_V_c.fit
58731.356562	0.04167	15.976	15.961	15.991	20.18801	V	m15_data/M15-1_20190905_083327_d186_Nickel_V_c.fit
58731.357697	0.125	15.915	15.902	15.928	20.8661	V	m15_data/M15-1_20190905_083505_d187_Nickel_V_c.fit
58735.276123	0.01389	16.068	16.047	16.089	18.63292	V	m15_data/M15-1_20190909_063737_d152_Nickel_V_c.fit
58735.279248	0.04167	16.076	16.064	16.088	19.40917	V	m15_data/M15-1_20190909_064207_d153_Nickel_V_c.fit
58735.28853	0.01389	16.125	16.104	16.146	18.53308	V	m15_data/M15-1_20190909_065529_d154_Nickel_V_c.fit
58735.290313	0.125	16.107	16.098	16.116	20.00187	V	m15_data/M15-1_20190909_065803_d155_Nickel_V_c.fit
58738.223773	0.01389	16.175	16.149	16.201	18.40133	V	m15_data/M15-1_20190912_052214_d157_Nickel_V_c.fit
58738.225255	0.04167	16.121	16.104	16.138	18.96857	V	m15_data/M15-1_20190912_052422_d158_Nickel_V_c.fit
58738.226528	0.125	16.177	16.167	16.187	19.20554	V	m15_data/M15-1_20190912_052612_d159_Nickel_V_c.fit
58751.207315	0.01389	16.558	16.534	16.582	19.55983	B	m15_data/M15-1_20190925_045832_d144_Nickel_B_c.fit
58751.20809	0.01389	16.049	16.033	16.065	19.52004	V	m15_data/M15-1_20190925_045939_d145_Nickel_V_c.fit
58751.208796	0.04167	16.082	16.068	16.096	20.40918	V	m15_data/M15-1_20190925_050040_d146_Nickel_V_c.fit
58751.21	0.125	16.083	16.071	16.095	20.95194	V	m15_data/M15-1_20190925_050224_d147_Nickel_V_c.fit
58759.19206	0.01389	15.883	15.864	15.902	19.28067	V	m15_data/M15-1_20191003_043634_d137_Nickel_V_c.fit
58759.193646	0.04167	15.907	15.892	15.922	20.10218	V	m15_data/M15-1_20191003_043851_d138_Nickel_V_c.fit
58759.194711	0.125	15.925	15.915	15.935	20.2705	V	m15_data/M15-1_20191003_044023_d139_Nickel_V_c.fit
58763.208287	0.01389	15.907	15.89	15.924	19.2926	V	m15_data/M15-1_20191007_045956_d137_Nickel_V_c.fit
58763.20897	0.04167	15.898	15.886	15.91	19.85952	V	m15_data/M15-1_20191007_050055_d138_Nickel_V_c.fit
58763.210961	0.125	15.916	15.907	15.925	20.48927	V	m15_data/M15-1_20191007_050347_d139_Nickel_V_c.fit
58768.299688	0.04167	15.699	15.688	15.71	19.07173	V	m15_data/M15-1_20191012_071133_d177_Nickel_V_c.fit
58768.300833	0.125	15.706	15.698	15.714	19.58963	V	m15_data/M15-1_20191012_071312_d178_Nickel_V_c.fit
58769.336493	0.01389	15.285	15.273	15.297	18.81033	V	m15_data/M15-1_20191013_080433_d301_Nickel_V_c.fit
58769.338206	0.04167	15.273	15.263	15.283	18.6559	V	m15_data/M15-1_20191013_080701_d302_Nickel_V_c.fit
58769.339769	0.125	15.269	15.262	15.276	19.58283	V	m15_data/M15-1_20191013_080916_d303_Nickel_V_c.fit
58775.245544	0.01389	15.85	15.835	15.865	18.80684	V	m15_data/M15-1_20191019_055335_d140_Nickel_V_c.fit
58775.246551	0.04167	15.815	15.807	15.823	19.66598	V	m15_data/M15-1_20191019_055502_d141_Nickel_V_c.fit
58775.248669	0.125	15.835	15.827	15.843	20.36661	V	m15_data/M15-1_20191019_055805_d142_Nickel_V_c.fit
58779.239028	0.01389	15.739	15.726	15.752	19.1427	V	m15_data/M15-1_20191023_054412_d135_Nickel_V_c.fit
58779.240162	0.04167	15.74	15.732	15.748	19.73677	V	m15_data/M15-1_20191023_054550_d136_Nickel_V_c.fit
58779.241319	0.125	15.739	15.732	15.746	20.42013	V	m15_data/M15-1_20191023_054730_d137_Nickel_V_c.fit
58788.156042	0.01389	16.176	16.158	16.194	19.19513	V	m15_data/M15-1_20191101_034442_d152_Nickel_V_c.fit
58788.156678	0.04167	16.148	16.135	16.161	19.73772	V	m15_data/M15-1_20191101_034537_d153_Nickel_V_c.fit
58788.157836	0.125	16.146	16.135	16.157	20.25072	V	m15_data/M15-1_20191101_034717_d154_Nickel_V_c.fit
58789.168426	0.01389	16.122	16.101	16.143	19.30954	V	m15_data/M15-1_20191102_040232_d144_Nickel_V_c.fit
58789.169375	0.04167	16.112	16.098	16.126	20.17845	V	m15_data/M15-1_20191102_040354_d145_Nickel_V_c.fit
